name,mode,c,rate,users,dur,limit_mib,gomemlimit,config,seed,peak_mib,oom_kills,kratos_exit,signups_ok,signup_fail,signup_rps,signup_mean_ms,signup_p50_ms,signup_p95_ms,signup_p99_ms,signup_max_ms,requests,failures
open_r30_r2,open,,30,180,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,152,7.620971870535732,9911.00065887499,8600.0,18000.0,18000.0,18344.459180000285,361,209
closed_c12_r2,closed,12,,,20,12288,,kratos.local.yml,102,2184.1,0,,69,0,3.64731348880504,2927.222296362295,2000.0,8100.0,8400.0,8396.692955999697,148,0
gml768MiB_c2_r1,closed,2,,,20,12288,768MiB,kratos.local.yml,301,731.7,0,,115,0,6.063341290323684,323.7480080608848,280.0,850.0,990.0,1091.4769419996446,232,0
open_r10_r0,open,,10,60,20,4096,,kratos.local.yml,200,4096.0,2,-9,0,4,0.21520919483140283,13435.87940024986,15000.0,17000.0,17000.0,17121.342616999755,61,4
gml1536MiB_c32_r1,closed,32,,,20,12288,1536MiB,kratos.local.yml,301,3843.1,0,,0,0,,,,,,,32,0
open_r15_r0,open,,15,90,20,4096,,kratos.local.yml,200,4096.0,1,-9,1,74,3.7532881844277592,11753.796079199989,12000.0,18000.0,18000.0,17844.0661919999,182,106
closed_c32_r1,closed,32,,,20,12288,,kratos.local.yml,101,4364.9,0,,0,2,0.10321166931778475,18325.384092999913,19000.0,19000.0,19000.0,19288.72767799976,35,2
par3_c4_r0,closed,4,,,20,12288,,kratos.local.par3.yml,500,1457.2,0,,91,0,4.810967890093106,781.1605491428511,510.0,2300.0,2400.0,2367.4695870004143,186,0
par3_c4_r2,closed,4,,,20,12288,,kratos.local.par3.yml,502,1288.9,0,,100,0,5.156885707769378,749.3033245000332,560.0,2000.0,2400.0,2379.8253850000037,204,0
long_c4_r1,closed,4,,,60,12288,,kratos.local.yml,401,1313.5,0,,302,0,5.111612067212535,750.4447785231969,580.0,1600.0,2400.0,2513.3240889999797,608,0
par3_c2_r2,closed,2,,,20,12288,,kratos.local.par3.yml,502,737.1,0,,107,0,5.636189925524869,349.11012528972833,280.0,860.0,1100.0,1156.5482470005009,216,0
par3_c2_r1,closed,2,,,20,12288,,kratos.local.par3.yml,501,726.3,0,,106,0,5.626465478278559,346.76484446230944,290.0,850.0,1200.0,1229.3586929999947,214,0
long_c6_r1,closed,6,,,60,12288,,kratos.local.yml,401,1849.2,0,,311,0,5.269755945950568,1054.9024610739589,870.0,2300.0,3500.0,4201.772723999966,628,0
par3_c4_r1,closed,4,,,20,12288,,kratos.local.par3.yml,501,1284.8,0,,98,0,4.923352595419216,768.3095773877634,560.0,2200.0,2300.0,2346.4382680003837,200,0
long_c6_r0,closed,6,,,60,12288,,kratos.local.yml,400,1764.8,0,,297,0,5.028135100590712,1119.9957095791078,930.0,2200.0,3700.0,4717.3174069994275,600,0
long_c4_r0,closed,4,,,60,12288,,kratos.local.yml,400,1318.7,0,,305,0,5.168299113816713,744.9824665704681,560.0,1700.0,2400.0,2609.262898000452,614,0
